Date,Startup Name,Vertical,SubVertical,City Location,Investors,Round,Amount,Startup Names,Industries,Funding Rounds,Investment Amount,Valuation,Number of Investors,Country,Year Founded,Growth Rate (%)
2017-05-18,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,13.6,Startup_829,HealthTech,1,472991602.63,1528059718.9999118,41,Australia,2010,6.96
2017-05-18,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.0,Startup_830,SaaS,2,1770607398.38,5212612163.103848,37,France,2020,36.0
2017-05-18,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,19040.0,Startup_831,HealthTech,1,4346129452.3,20316608026.977844,46,Brazil,2012,118.47
2017-05-19,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,13.6,Startup_832,HealthTech,4,2142742328.71,6142938215.626701,29,India,2015,129.11
2017-05-19,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,0.0,Startup_833,E-commerce,7,3058582049.03,12444991459.358276,13,Brazil,2002,114.37
2017-05-20,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,0.0,Startup_834,SaaS,5,728796593.83,3109050521.9610977,20,UK,2018,114.08
2017-05-22,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,408.0,Startup_835,Fintech,9,1340497229.38,3194528924.038306,9,Australia,2013,78.73
2017-05-22,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,6.8,Startup_836,Blockchain,5,881611828.63,2104784468.16314,25,USA,2023,29.38
2017-05-23,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,0.0,Startup_837,EdTech,8,454827680.84,1153175920.9152672,9,China,2008,172.03
2017-05-23,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,89.76,Startup_838,Biotech,7,1762650847.76,4958774151.950804,47,China,2018,153.55
2017-05-23,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0.0,Startup_839,Fintech,10,2513472813.8,8344974657.788409,26,Canada,2008,188.26
2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,13.6,Startup_840,SaaS,3,3672196223.49,13599329416.543833,25,China,2008,142.0
2017-05-24,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,7.888,Startup_841,EdTech,9,1152819067.29,3548591788.3572845,12,Germany,2014,118.53
2017-05-25,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,108.8,Startup_842,Fintech,10,1573823434.24,5277699960.975832,47,Brazil,2018,40.06
2017-05-26,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,0.0,Startup_843,HealthTech,8,159567350.14,318238569.8596014,43,India,2017,44.41
2017-05-29,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,Undisclosed,Seed Funding,0.0,Startup_844,AI,7,3867321960.54,8539303988.754012,1,China,2006,97.26
2017-05-29,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0.0,Startup_845,Biotech,8,4096127626.55,8960387993.165182,8,France,2000,190.6
2017-05-29,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,0.0,Startup_846,E-commerce,8,4321019502.08,16739425151.1182,32,Singapore,2023,191.44
2017-05-29,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,47.6,Startup_847,EdTech,8,4631066329.02,22142699388.94706,2,USA,2014,121.25
2017-05-30,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,0.0,Startup_848,Blockchain,4,42886462.35,110959029.33909602,45,Germany,2019,148.32
2017-05-30,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,0.0,Startup_849,EdTech,2,1666535987.5,7638403529.531869,8,Canada,2022,87.71
2017-05-30,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,20.4,Startup_850,Biotech,7,3266671944.74,6338976928.069199,27,France,2020,12.58
2017-05-30,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,1088.0,Startup_851,Blockchain,8,1222647578.06,3024034895.921159,27,China,2002,197.61
2017-05-31,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,68.0,Startup_852,Biotech,7,1806971205.27,5422096764.591686,21,China,2002,126.46
2017-05-31,Magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,95.2,Startup_853,HealthTech,10,1928050551.81,7015325931.108794,32,Singapore,2022,116.2
2017-04-01,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,51.68,Startup_854,E-commerce,6,4281522249.72,19783842261.94311,10,France,2008,106.97
2017-04-03,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,111.52,Startup_855,AI,1,2970540518.54,14006089045.827976,34,Canada,2010,101.26
2017-04-03,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,0.0,Startup_856,Fintech,9,2484586807.64,9879870115.144356,19,Germany,2012,178.72
2017-04-03,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,544.0,Startup_857,SaaS,5,3151055250.34,9596301787.446768,32,France,2005,188.23
2017-04-03,Tyre Express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,0.0,Startup_858,Biotech,7,4479419649.52,19787930688.88193,36,UK,2009,153.93
2017-04-03,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,0.0,Startup_859,Blockchain,6,4937817434.28,19348635377.63361,21,USA,2021,176.63
2017-04-04,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,36.72,Startup_860,HealthTech,3,56283757.1,239360573.36325768,47,China,2019,116.68
2017-04-04,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,82.96,Startup_861,Biotech,4,2986829661.1,11698924236.448652,29,Singapore,2008,67.69
2017-04-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,50.184,Startup_862,AI,6,4587590977.53,7276051681.705276,18,Germany,2002,23.68
2017-04-04,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,95.2,Startup_863,SaaS,1,3099878968.79,11300366793.218914,22,China,2020,56.98
2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,6.8,Startup_864,SaaS,6,1887188098.19,6665066058.837741,32,China,2013,59.62
2017-04-04,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,6.8,Startup_865,Blockchain,4,2490109094.08,7120684055.995268,31,Singapore,2018,12.52
2017-04-05,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0,Startup_866,E-commerce,2,3099715966.49,14601101823.561275,18,Germany,2023,185.51
2017-04-05,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,40.8,Startup_867,SaaS,4,3080340948.04,11769255258.599726,30,Germany,2013,180.73
2017-04-05,DataWeave,Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0.0,Startup_868,Blockchain,5,4858208113.34,9592015082.07956,47,Brazil,2007,17.5
2017-04-06,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,285.6,Startup_869,EdTech,7,2822367807.52,8629702400.908361,7,Canada,2019,44.37
2017-04-06,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,68.0,Startup_870,HealthTech,10,2290073610.72,9687195660.662737,35,Australia,2002,162.05
2017-04-07,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.0,Startup_871,E-commerce,10,2911527067.29,7204953873.281824,50,France,2023,112.67
2017-04-07,QorQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,0.0,Startup_872,AI,6,336103696.09,1477518611.2451098,2,USA,2001,82.66
2017-04-07,Twenty Two Motors,Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.0,Startup_873,E-commerce,2,3539596939.7,11492613399.33303,47,UK,2005,28.97
2017-04-07,PharmEasy,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,244.8,Startup_874,Blockchain,10,4334957708.1,13740817490.361277,50,Singapore,2021,37.35
2017-04-08,WonderChef,eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,0.0,Startup_875,Fintech,1,3102988413.35,13323847176.139313,28,Australia,2007,26.4
2017-04-08,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,62.56,Startup_876,EdTech,8,3163866715.62,6195439408.970834,26,Australia,2017,70.31
2017-04-10,Omnify,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,2.04,Startup_877,Biotech,3,2698229343.96,9701039740.655169,44,Brazil,2007,35.35
2017-04-10,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,31.28,Startup_878,Blockchain,8,1914241710.67,8748622846.554235,50,Singapore,2007,67.07
2017-04-11,Ninjacart,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,74.8,Startup_879,E-commerce,9,600633160.26,1278804439.1628752,19,France,2017,97.21
2017-04-11,MergerWare,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,1.36,Startup_880,E-commerce,3,2844188998.29,13092550888.609152,47,Australia,2022,47.99
2017-04-11,Sports Flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0,Startup_881,E-commerce,8,1174483888.16,5248743934.024652,40,Canada,2019,143.69
2017-04-12,Clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,54.4,Startup_882,E-commerce,5,2305335351.12,6013926837.029935,20,Canada,2023,149.41
2017-04-12,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,61.2,Startup_883,SaaS,6,1126128239.2,5364102027.049855,37,Germany,2017,161.9
2017-04-12,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,61.2,Startup_884,EdTech,7,1942325719.42,6199397563.254241,47,China,2003,76.7
2017-04-12,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,28.56,Startup_885,Blockchain,2,1981552718.55,5082834045.051372,37,China,2005,149.77
2017-04-12,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0,Startup_886,AI,5,3982961566.52,14725180899.986498,42,Australia,2016,74.57
2017-04-12,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,0.0,Startup_887,E-commerce,2,3648208832.82,12582443641.168102,41,France,2006,153.03
2017-04-13,SafetyKart,eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,0.0,Startup_888,Fintech,5,4520792983.39,13889240912.35152,5,France,2023,152.69
2017-04-13,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,104.72,Startup_889,Biotech,4,4240350719.49,13944342393.488249,17,USA,2005,125.99
2017-04-14,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,3536.0,Startup_890,Biotech,8,2568989811.8,7550233333.291197,33,China,2011,134.43
2017-04-15,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,4.216,Startup_891,E-commerce,8,1807464327.8,7065970861.085233,10,UK,2005,38.34
2017-04-17,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,20.4,Startup_892,SaaS,1,997609258.39,4513558916.325172,33,China,2020,117.98
2017-04-17,Navia Life Care,Technology,Health Technology platform,New Delhi,Benori Ventures LLP,Seed Funding,0.0,Startup_893,AI,5,4793412793.51,10015110009.983002,16,Singapore,2012,125.93
2017-04-17,Raw Pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,0.0,Startup_894,EdTech,4,2795352252.64,5438621050.681677,20,UK,2017,161.01
2017-04-17,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,2.38,Startup_895,Fintech,10,1784798964.52,3033041638.003277,26,USA,2021,99.7
2017-04-17,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,8.432,Startup_896,Fintech,5,381262119.69,906762451.7207994,36,UK,2020,117.41
2017-04-17,Simulanis,Consumer Internet,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Funding,0.0,Startup_897,SaaS,9,3387783132.2,16461493377.819014,17,USA,2001,149.93
2017-04-17,LendingKart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,63.24,Startup_898,Fintech,5,4300074658.17,14423181396.912878,26,Germany,2000,52.74
2017-04-18,Innefu Security Consulting,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,27.2,Startup_899,Biotech,1,4081238216.2,9160567866.195358,19,Germany,2017,33.42
2017-04-18,Whodat,Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,8.16,Startup_900,SaaS,6,4621471412.17,10277066218.28972,41,China,2023,121.97
2017-04-18,Absentia VR,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,17.0,Startup_901,Blockchain,7,3762262935.04,11718032309.63778,6,Singapore,2019,197.96
2017-04-19,IOTrek,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,2.108,Startup_902,Fintech,5,4908623300.15,10218410599.389685,16,Australia,2009,199.87
2017-04-20,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,40.8,Startup_903,HealthTech,2,3114651005.26,8562475542.565375,39,France,2006,59.42
2017-04-20,Wooplr,eCommerce,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,Ankit Nagori,Private Equity,0.0,Startup_904,E-commerce,2,3431070032.32,8976810331.150488,47,India,2009,166.01
2017-04-21,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,13.6,Startup_905,Blockchain,1,3107098779.21,14324323298.751448,42,USA,2012,59.18
2017-04-24,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,85.68,Startup_906,HealthTech,4,4617302940.24,8312794745.305371,19,France,2019,18.74
2017-04-24,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,3400.0,Startup_907,SaaS,3,427013683.37,711151326.6654983,7,Canada,2015,115.38
2017-04-24,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,43.52,Startup_908,HealthTech,2,3415500382.27,12144827341.34716,16,France,2005,123.31
2017-04-24,Niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.0,Startup_909,EdTech,6,2647982748.94,12172598307.74789,17,Australia,2011,199.75
2017-04-25,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,3.332,Startup_910,AI,10,535191102.69,1893260411.12604,47,Singapore,2003,36.56
2017-04-25,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,42.16,Startup_911,Blockchain,7,816153710.46,3767509151.355315,46,UK,2012,68.31
2017-04-26,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,272.0,Startup_912,Biotech,10,2453609941.9,9757274269.511597,34,France,2023,48.03
2017-04-26,Myra,Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Private Equity,0.0,Startup_913,E-commerce,9,37537878.77,133681862.00232716,7,Singapore,2017,10.83
2017-04-26,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,149.6,Startup_914,EdTech,7,3206666399.48,12819761221.50457,11,France,2018,69.49
2017-04-26,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,20.4,Startup_915,AI,2,2040518740.57,7597406870.056548,34,France,2018,53.56
2017-04-26,StalkBuyLove,eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,13.6,Startup_916,EdTech,3,1976157466.43,5905848959.304791,50,Brazil,2004,60.95
2017-04-26,ZipGo,Consumer Internet,Bus Pooling services platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0.0,Startup_917,Biotech,1,3395728565.95,16508016355.30487,2,Brazil,2016,196.46
2017-04-27,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,48.96,Startup_918,HealthTech,4,1765263374.31,6199695973.535186,7,USA,2020,185.44
2017-04-27,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,0.0,Startup_919,Fintech,9,4933287255.17,17796609457.170895,18,UK,2007,106.47
2017-04-27,eShiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,0.0,Startup_920,AI,7,1223184803.27,3361988631.457173,32,Australia,2017,70.99
2017-04-27,iNurture,Consumer Internet,Online Educational courses,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,20.4,Startup_921,Blockchain,1,4416267157.27,7068011181.764632,33,USA,2001,125.79
2017-04-28,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,10.2,Startup_922,SaaS,1,3669575603.33,18057953791.10798,26,France,2003,136.79
2017-04-28,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Funding,0.0,Startup_923,HealthTech,3,4078647305.38,6770675008.873297,22,Brazil,2008,28.12
2017-04-29,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,0.0,Startup_924,HealthTech,3,171820767.54,312922644.2111893,17,Australia,2003,52.2
2017-03-01,Ola,Consumer Internet,App based cab aggregator,Bangalore,SoftBank Group Corp,Private Equity,4488.0,Startup_925,Blockchain,10,1388849829.39,4779846928.421488,31,Germany,2010,15.42
2017-03-01,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,136.0,Startup_926,AI,8,2731808996.8,8920548333.14751,25,China,2008,58.22
2017-03-01,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.0,Startup_927,Fintech,5,3920232039.54,15484135182.35764,50,Australia,2021,145.85
2017-03-01,Paalak,ECommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.0,Startup_928,AI,2,2236298274.98,5233424793.287084,37,Australia,2001,182.16
2017-03-02,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,20.4,Startup_929,Blockchain,5,4556111413.16,11006387714.30314,42,India,2013,7.68
2017-03-02,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,6.8,Startup_930,E-commerce,10,4630530676.15,20145239330.98277,11,Brazil,2010,60.79
2017-03-02,Red Carpet,Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture Partners,Private Equity,34.0,Startup_931,AI,9,4685425192.54,15914253007.196142,46,Brazil,2015,159.96
2017-03-02,Kreate Konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Funding,0.0,Startup_932,AI,1,4377470007.44,7136625120.849482,32,Germany,2012,187.56
2017-03-02,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,103.36,Startup_933,SaaS,2,1564835977.19,4998563618.281944,47,UK,2003,90.77
2017-03-03,Lets Endorse,Consumer Internet,Online Ecosystem of social innovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.0,Startup_934,Blockchain,2,3689264435.57,9477815353.053932,19,Germany,2008,156.34
2017-03-03,Tydy,Technology,Employee Onboarding and Engagement platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,3.74,Startup_935,EdTech,5,1571446962.45,4443374468.170698,48,Canada,2021,125.49
2017-03-03,Nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.0,Startup_936,Fintech,8,3566456111.71,8153414283.46098,37,India,2008,99.87
2017-03-03,Oho Shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,91.12,Startup_937,Fintech,6,213294016.99,723873700.4453473,37,Australia,2021,184.21
2017-03-03,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed Funding,0.0,Startup_938,AI,9,4014044143.59,16914285764.443493,29,Germany,2015,32.07
2017-03-03,Paytm Marketplace,ECommerce,ECommerce Marketplace,Bangalore,Alibaba,Private Equity,2720.0,Startup_939,SaaS,3,626638488.26,1339976644.1079211,22,UK,2008,52.84
2017-03-04,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,265.2,Startup_940,HealthTech,5,3750039567.67,18589682684.31101,29,Germany,2001,99.99
2017-03-06,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,16.32,Startup_941,Biotech,2,339030991.72,1546156806.249993,33,Singapore,2006,186.48
2017-03-06,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,2.04,Startup_942,Blockchain,1,2274615487.06,9366419355.0706,41,UK,2021,153.71
2017-03-06,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,24.344,Startup_943,Fintech,4,4718894347.94,18724658409.35577,40,China,2018,193.29
2017-03-07,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,136.0,Startup_944,EdTech,9,4424678388.99,16091679086.961126,31,Brazil,2012,193.64
2017-03-07,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Star India Pvt Ltd,Private Equity,136.0,Startup_945,Fintech,9,49931150.23,140892416.0485879,44,China,2015,157.58
2017-03-07,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,13.6,Startup_946,HealthTech,10,3121077218.23,9924831869.808395,33,Canada,2001,138.42
2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,0.408,Startup_947,EdTech,6,544012434.84,2419780139.7464404,6,Brazil,2015,39.89
2017-03-07,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,49.64,Startup_948,Biotech,6,587255272.48,2027899619.1368432,32,UK,2017,16.01
2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,204.0,Startup_949,EdTech,4,1502364818.97,3931654565.7859616,34,Germany,2003,69.66
2017-03-08,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,14.96,Startup_950,EdTech,2,2842535153.34,4692585152.678079,41,UK,2008,25.79
2017-03-08,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,1.632,Startup_951,Fintech,8,426434010.31,1995921898.430489,26,Australia,2006,165.68
2017-03-08,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.0,Startup_952,EdTech,9,1144695289.33,5198059449.150777,22,UK,2020,198.12
2017-03-09,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,6.8,Startup_953,SaaS,3,3249939276.72,10758581581.2679,4,China,2007,15.62
2017-03-09,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,61.2,Startup_954,Biotech,1,3738175348.1,6484735741.051487,24,Germany,2011,159.48
